term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
TTRthreshNullTreatment,8,121.245098310859,148.394118681678,-52.6225491554297,105.245098310859,NA,NA,NA
TTRthreshModel,10,103.688189632268,137.624465095792,-41.8440948161342,83.6881896322684,21.556908678591,2,2.08437932623506e-05
TTRthreshNullTimepoint,8,113.956972851937,141.105993222756,-48.9784864259686,97.9569728519373,NA,NA,NA
TTRthreshModel,10,103.688189632268,137.624465095792,-41.8440948161342,83.6881896322684,14.2687832196689,2,0.000797210650496669
TTRthreshNullInteraction,9,101.688189632697,132.230837549869,-41.8440948163487,83.6881896326973,NA,NA,NA
TTRthreshModel,10,103.688189632268,137.624465095792,-41.8440948161342,83.6881896322684,4.28954649578372e-10,1,0.999983474837026
