Site,Year,Month,Mean,Min,Max
WA,2021,1,9.25,8.14,10.02
WA,2021,2,8.26,7.68,8.72
WA,2021,3,8.82,8.26,9.21
WA,2021,4,10.08,8.71,11.82
WA,2021,5,11.42,10.13,12.95
WA,2021,6,14.47,12.73,16.85
WA,2021,7,13.91,11,17.33
WA,2021,8,13.46,11.23,14.91
WA,2021,9,13.19,12.52,14.09
WA,2021,10,12.83,12.22,13.52
WA,2021,11,11.47,10.58,12.06
WA,2021,12,9.86,7.49,11.44
WA,2022,1,8.44,7.48,8.98
WA,2022,2,8.17,7.7,8.62
WA,2022,3,8.93,8.17,10.14
WA,2022,4,9.97,9.23,11.42
WA,2022,5,12.22,11.42,12.97
WA,2022,6,14.01,12.96,14.85
WA,2022,7,15.05,13.73,16.93
WA,2022,8,15.74,13.78,17.93
WA,2022,9,14.1,13.16,15.23
WA,2022,10,12.84,10.88,14.71
WA,2022,11,9.92,8.99,11.09
WA,2022,12,8.68,7.55,9.33
WA,2023,1,9.33,8.54,10.08
WA,2023,2,8.56,7.46,9.3
WA,2023,3,8.28,7.41,9.06
WA,2023,4,9.63,8.84,11.02
WA,2023,5,13.29,11.26,15.24
WA,2023,6,12.29,10.71,13.38
WA,2023,7,13.58,11.77,15.49
WA,2023,8,15.72,13.57,17.35
WA,2023,9,15.13,13.4,16.17
WA,2023,10,13.58,11.84,14.69
WA,2023,11,11.69,10.32,12.5
WA,2023,12,10.47,10.1,11.13
WA,2024,1,9.96,8.63,11.27
WA,2024,2,10.09,9.26,11.26
WA,2024,3,10.36,8.8,11.25
WA,2024,4,11.25,10.86,11.68
WA,2024,5,11.93,11.28,12.66
WA,2024,6,12.92,11.93,13.72
WA,2024,7,13.33,12.19,14.07
WA,2024,8,15.27,13.65,16.51
WA,2024,9,14.99,12.98,16.44
WA,2024,10,12.67,12.08,13.24
WA,2024,11,11.4,9.53,12.1
WA,2024,12,9.73,8.91,10.45
MA,2021,1,6.25,4.29,7.69
MA,2021,2,3.12,2.29,4.11
