term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
TTRthreshNullTreatment,8,189.323380159311,218.021369426513,-86.6616900796556,173.323380159311,NA,NA,NA
TTRthreshModel,10,140.127593177666,176.000079761669,-60.0637965888332,120.127593177666,53.1957869816447,2,2.80984023288917e-12
TTRthreshNullTimepoint,8,199.369157080447,228.067146347649,-91.6845785402235,183.369157080447,NA,NA,NA
TTRthreshModel,10,140.127593177666,176.000079761669,-60.0637965888332,120.127593177666,63.2415639027805,2,1.85041391245361e-14
TTRthreshNullInteraction,9,138.086568626066,170.371806551668,-60.0432843130331,120.086568626066,NA,NA,NA
TTRthreshModel,10,140.127593177666,176.000079761669,-60.0637965888332,120.127593177666,0,1,1
