"","crab.ID","treatment","presenceT","timepoint1_Q10","timepoint2_Q10","timepoint3_Q10","timepoint4_Q10","timepoint5_Q10"
"1",3,"0C","Y",0.602676146871384,0.0612653999535008,0.0612653999535008,0.0612653999535008,0.0612653999535008
"2",6,"0C","Y",0.345487663012276,0.0531697297774306,0.0531697297774306,0.0531697297774306,0.0531697297774306
"3",17,"0C","Y",0.739239218440292,0.0920412482651176,0.0920412482651176,0.0920412482651176,0.0920412482651176
"4",25,"0C","Y",0.589535571703323,0.0414057238705277,0.069915863931675,0.116519239418975,0.0677670700558576
"5",28,"0C","N",0.215672282239451,0.0383507277917888,0.0383507277917888,0.0383507277917888,0.0383507277917888
"6",59,"0C","Y",0.199554320973849,0.0404236702751167,0.0404236702751167,0.0404236702751167,0.0404236702751167
"7",60,"0C","Y",0.707531849757387,0.103742622016611,0.103742622016611,0.103742622016611,0.103742622016611
"8",40,"0C","N",0.538092903951973,0.154840804760322,0.244103119909799,0.0790531194695515,0.0590957232101058
"9",41,"0C","N",0.213597207133883,0.0440316186268455,0.0382336939828544,0.0292556396104335,0.0292556396104335
"10",45,"0C","N",0.693133619965455,0.0820096588618534,0.321381952413013,0.251223130795983,0.459924038845935
"11",54,"0C","Y",0.747600743231955,0.0388516834927753,0.0388516834927753,0.0696244745168146,0.0618153636678235
"12",76,"5C","N",0.894318766166148,0.433662566350725,0.223946096693861,0.765269973477599,1.05941629027937
"13",82,"5C","Y",0.538136532152867,0.126141615117335,0.129150018369173,0.562957426485203,0.272455939808983
"14",86,"5C","Y",0.474639610125069,0.31498603873623,0.238669353293489,0.422666295342772,0.520739816676335
"15",87,"5C","Y",0.796169355990942,0.134278499469346,0.278426268143161,0.818087937199431,0.43817665387463
"16",89,"5C","Y",0.739779305578593,0.547275619060666,0.549799415323556,0.569028341404447,0.618043944886975
"17",92,"5C","N",1.09258220008059,0.505999896652527,0.465620568942676,0.225671921741958,0.441619513542557
"18",97,"5C","N",0.630881266080137,0.422204365376807,0.204517785183778,0.358173733872499,0.654895670172841
"19",101,"5C","Y",0.253331777455235,0.053221121989446,0.193224728319739,0.156579269467438,0.0949905569638493
"20",118,"5C","Y",0.64009703446317,0.6035578173481,0.335661249610468,0.411131202825049,0.630561767380967
"21",121,"5C","Y",0.947306725707832,0.832563295074922,0.337532553725556,0.998318984495195,0.332212522910686
