treatment,timepoint,mean,sd
0C,0,1.60697674418605,0.73793570716689
0C,1,5.4176,4.2023372597216
0C,2,39.9156666666667,30.6939965990456
0C,3,25.5669047619048,22.6380891425592
0C,4,25.657619047619,16.9865616508926
0C,5,33.09,22.5761473191902
5C,0,1.5934188034188,0.639702730294235
5C,1,2.04434782608696,0.737138498823036
5C,2,6.43984126984127,7.19887718684815
5C,3,5.74283333333333,5.32432905198403
5C,4,4.480625,3.52610922264186
5C,5,3.83393939393939,2.93908822527661
