treatment,day,mean,sd
No Pulse,1,1.40444444444444,0.557632682645313
No Pulse,2,1.13083333333333,0.379417749035055
No Pulse,5,4.77833333333333,4.98447280982846
Pulse,1,1.23944444444444,0.427354637896895
Pulse,2,1.26472222222222,0.682325877197694
Pulse,5,1.1825,0.622664728113263
