timepoint,genotype,mean,sd,population
0,CC,1.17888888888889,0.261730100490268,WA
0,CT,1.15708333333333,0.244211965568815,WA
0,TT,1.19733333333333,0.334060872696379,WA
22,CC,2.28622222222222,1.16469347876207,WA
22,CT,4.33541666666667,6.45316064740913,WA
22,TT,4.22333333333333,5.97292688349318,WA
0,CC,1.43964912280702,1.41768324952064,ME
0,CT,0.880909090909091,0.135598188361308,ME
22,CC,2.66614035087719,2.61710854093019,ME
22,CT,1.45878787878788,0.203099716763699,ME
0,CC,2.13272727272727,1.0038058889179,NH
0,CT,21.2344444444444,16.5016188880342,NH
22,CC,6.59030303030303,9.26839893335838,NH
22,CT,8.27555555555556,10.5145329760149,NH
