term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
TTRnullTreatment,9,529.01554731107,559.476002876171,-255.507773655535,511.01554731107,NA,NA,NA
TTRmodel,11,457.479798442528,494.709244133208,-217.739899221264,435.479798442528,75.5357488685421,2,3.95931941908123e-17
TTRnullTimepoint,9,617.928259666191,648.388715231293,-299.964129833096,599.928259666191,NA,NA,NA
TTRmodel,11,457.479798442528,494.709244133208,-217.739899221264,435.479798442528,164.448461223664,2,1.9519575404851e-36
TTRnullInteraction,10,505.314691543414,539.159642171305,-242.657345771707,485.314691543414,NA,NA,NA
TTRmodel,11,457.479798442528,494.709244133208,-217.739899221264,435.479798442528,49.8348931008869,1,1.6724311833592e-12
